Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm,141.955,-81.09,0,top
D2,LED,LED_D5.0mm,142.275,-92.95,0,top
J1,Conn_01x06_Pin,Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,153.22,-73.52,0,top
J2,USB_C,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,128.955,-86.62,-90,top
R1,120 Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,152.96,-81.55,0,top
R2,60 Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,152.93,-92.99,0,top
R3,5.1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,134.75,-76.06,180,top
R4,5.1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,134.75,-97.47,180,top
U1,ESP32-Header,esp32-header,204.202,-86.5,-90,top
